scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,raw_actual_latitude,raw_actual_longitude,matched_actual_latitude,matched_actual_longitude,gps_snap_distance_m,gps_road_type,matched_estimated_latitude,matched_estimated_longitude,wifi_snap_distance_m,wifi_road_type
scan_01,2026-04-08 11:32:48,48.87859698231721,8.715912761038608,48.87860811971721,8.715648679771151,48.87860811971721,8.715648679771151,3,47.521924764610844,,19.373192859794283,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.87859698231721,8.715912761038608,48.87859698231721,8.715912761038608,,,48.87860811971721,8.715648679771151,,
scan_04,2026-04-08 11:33:11,48.878608119717214,8.715648679771151,48.87865290659073,8.715609347332942,48.87865290659073,8.715609347332942,3,32.2658629304208,,5.757491403409537,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.878608119717214,8.715648679771151,48.878608119717214,8.715648679771151,,,48.87865290659073,8.715609347332942,,
scan_05,2026-04-08 11:33:34,48.87875390342473,8.715488070086685,48.878637231184996,8.715623113686316,48.878637231184996,8.715623113686316,3,17.009801096230763,,16.32271291704811,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.87875390342473,8.715488070086685,48.87875390342473,8.715488070086685,,,48.878637231184996,8.715623113686316,,
scan_16,2026-04-08 12:04:01,48.88972488795268,8.695300555635395,48.88269666701146,8.709812873937468,48.88269666701146,8.709812873937468,5,15.082595409820314,,1319.2507357162538,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88971471078834,8.695300961700791,48.88972488795268,8.695300555635395,1.1333117320118722,residential,48.88269666701146,8.709812873937468,,
scan_20,2026-04-08 12:06:02,48.88973940898665,8.696378386109574,48.88514219634758,8.705463211738236,48.88514219634758,8.705463211738236,3,38.97007398846795,,839.0859581184866,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88980351745669,8.69637696252907,48.88973940898665,8.696378386109574,7.137315513510973,residential,48.88514219634758,8.705463211738236,,
scan_22,2026-04-08 12:06:30,48.88972467712202,8.696699752991917,48.88679884111323,8.702908574958883,48.88687376704676,8.702863702505473,5,51.39588580473312,8.964190854466443,551.6056938485235,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88977385104084,8.696722641796185,48.88972467712202,8.696699752991917,5.724668314247665,residential,48.88687376704676,8.702863702505473,8.964190854466443,path
scan_25,2026-04-08 12:07:41,48.88968389368609,8.69738526765395,48.88782803986893,8.700623008861625,48.8879623,8.700736,3,38.97007398846795,17.081591886456582,311.25287566739814,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88969432278769,8.697389132041538,48.88968389368609,8.69738526765395,1.194926808380818,pedestrian,48.8879623,8.700736,17.081591886456582,footway
scan_26,2026-04-08 12:08:02,48.889659346248735,8.697558960323315,48.88853456643176,8.6999138608317,48.88857858942963,8.699840066696941,3,48.13176359397884,7.2932583561857545,205.79435915078275,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88965693991006,8.697558467242297,48.889659346248735,8.697558960323315,0.2702939358680504,pedestrian,48.88857858942963,8.699840066696941,7.2932583561857545,living_street
scan_27,2026-04-08 12:08:31,48.88966042701101,8.697546760257767,48.88889287318064,8.699294794540606,48.88890117234414,8.69926009493847,5,33.58836439349036,2.7026551087405637,151.22947037497752,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8896420292112,8.697542990379423,48.88966042701101,8.697546760257767,2.066547732927936,pedestrian,48.88890117234414,8.69926009493847,2.7026551087405637,residential
scan_30,2026-04-08 12:09:15,48.88964419713755,8.69772996939107,48.889239032167936,8.69886049025207,48.88926857570714,8.698743325697198,5,38.151730613835184,9.184825334758854,85.14621503424736,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.889626166731695,8.697726274795905,48.88964419713755,8.69772996939107,2.025279914195149,pedestrian,48.88926857570714,8.698743325697198,9.184825334758854,pedestrian
