scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_65,2026-04-08 12:51:36,48.88949854887613,8.698380980716754,48.889800080133796,8.698474838323246,48.889797456881055,8.698482303856517,3,110.0605893739141,0.6195673613471261,34.09090174339594,wknn_fingerprinting_smoothed_road_snapped,4,34.88519167816267,0,1,3,9.180357284520234,17.737388042487208,True,high_rmse;weak_router_support
scan_67,2026-04-08 12:51:54,48.889655522532514,8.698506450531182,48.88973261693127,8.698460158352026,48.88974096837157,8.698436390951226,4,55.9531292355032,1.9724678285877375,10.806054576695656,wknn_fingerprinting_smoothed_road_snapped,10,37.30930513397575,0,3,7,19.74059890419231,7.129937987287229,True,high_rmse;weak_router_support
scan_69,2026-04-08 12:52:12,48.88980222408848,8.698585860055974,48.889794192995055,8.698493104781317,48.88979787020103,8.698482639796008,5,42.804148747163055,0.8684930876366456,7.57062816452622,wknn_fingerprinting_smoothed_road_snapped,14,26.698974795584846,0,6,8,17.334314990425874,7.1821069230200605,True,weak_router_support
scan_73,2026-04-08 12:52:46,48.88998564571088,8.698668501907346,48.89001089528848,8.698613263143887,48.89001119970936,8.698612010831562,5,52.621851100817395,0.09772511506706194,5.018828213412189,wknn_fingerprinting_smoothed_road_snapped,12,38.16003872327564,0,4,8,14.291558650448227,8.465893150175955,True,high_rmse;weak_router_support
scan_74,2026-04-08 12:52:56,48.890060742240735,8.69868835225887,48.8900242231302,8.69862025904903,48.89002442100374,8.698619445045997,3,31.003479014063515,0.06352131009620668,6.464182572572998,wknn_fingerprinting_smoothed_road_snapped,12,16.331227203649657,1,4,7,8.48506464317571,1.5691603540720733,True,weak_router_support
scan_75,2026-04-08 12:53:04,48.89012124026355,8.698770845401743,48.89011488518192,8.699142526298186,48.890222935444825,8.699164014785143,4,15.72569688416055,12.130551229892589,30.92408591402595,wknn_fingerprinting_smoothed_road_snapped,29,33.36355169879227,0,3,26,9.045019451234102,45.57505015968249,True,weak_router_support
scan_76,2026-04-08 12:53:13,48.89012678023144,8.698836909294055,48.889984011096516,8.698231596288394,48.889872418190784,8.698216547812835,5,33.75276559049856,12.471257301855763,53.51181211766549,wknn_fingerprinting_smoothed_road_snapped,14,65.01418719708437,0,0,14,4.874614250678868,79.57224643045454,True,weak_router_support
scan_77,2026-04-08 12:53:22,48.890133097721495,8.698895899800554,48.89007223687439,8.69850692883546,48.890042424806076,8.69862956842148,3,42.488656177651364,9.570259208016344,21.951944406227422,wknn_fingerprinting_smoothed_road_snapped,7,23.637645242942504,0,4,3,4.374617655068032,35.66573532978022,True,weak_router_support
scan_78,2026-04-08 12:53:31,48.89014008298814,8.698909968172023,48.89011058455819,8.698904360407198,48.89024426549188,8.698949597528117,4,37.35713758550337,15.245263459086384,11.954822204546788,wknn_fingerprinting_smoothed_road_snapped,12,31.457024846362476,0,2,10,1.2903370770701643,32.45823428061916,True,weak_router_support
scan_80,2026-04-08 12:53:49,48.89014079524099,8.69891439183786,48.89015381496282,8.699446804264678,48.890197869066874,8.699455565525467,4,21.860800694864423,4.945851582408244,40.11667506218071,wknn_fingerprinting_smoothed_road_snapped,15,35.743824863401954,0,5,10,0.3333500296678135,37.39190363608446,True,weak_router_support
scan_87,2026-04-08 12:54:53,48.89062028276742,8.69892088655433,48.89051114442877,8.699035849287842,48.890510617141764,8.699047302429749,4,62.750277572508594,0.8403412272111488,15.318212370599621,wknn_fingerprinting_smoothed_road_snapped,11,8.409037113512232,0,4,7,24.151477503532067,14.823784538203657,True,high_rmse
