scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count
scan_01,2026-04-08 11:32:48,48.87859698231721,8.715912761038608,48.87860811971721,8.715648679771151,48.87860811971721,8.715648679771151,3,47.521924764610844,,19.373192859794283,wknn_fingerprinting_smoothed_road_snapped,4,0.7372803097490346,0,2,2
scan_04,2026-04-08 11:33:11,48.878608119717214,8.715648679771151,48.87865290659073,8.715609347332942,48.87865290659073,8.715609347332942,3,32.2658629304208,,5.757491403409537,wknn_fingerprinting_smoothed_road_snapped,5,1.9787682925729804,0,2,3
scan_05,2026-04-08 11:33:34,48.87875390342473,8.715488070086685,48.878637231184996,8.715623113686316,48.878637231184996,8.715623113686316,3,17.009801096230763,,16.32271291704811,wknn_fingerprinting_smoothed_road_snapped,5,1.9787682925729804,0,1,4
scan_16,2026-04-08 12:04:01,48.88971471078834,8.695300961700791,48.88269666701146,8.709812873937468,48.88269666701146,8.709812873937468,5,15.082595409820314,,1318.5554032706086,wknn_fingerprinting_smoothed_road_snapped,12,120.90160146746217,0,0,12
scan_20,2026-04-08 12:06:02,48.88980351745669,8.69637696252907,48.88514219634758,8.705463211738236,48.88514219634758,8.705463211738236,3,38.97007398846795,,843.5390072126894,wknn_fingerprinting_smoothed_road_snapped,6,39.07449317405229,0,1,5
scan_22,2026-04-08 12:06:30,48.88977385104084,8.696722641796185,48.88679884111323,8.702908574958883,48.88687376704676,8.702863702505473,5,51.39588580473312,8.964190854466443,553.4112770468112,wknn_fingerprinting_smoothed_road_snapped,8,35.8959201568386,0,2,6
scan_25,2026-04-08 12:07:41,48.88969432278769,8.697389132041538,48.88782803986893,8.700623008861625,48.88793218319802,8.700577297913593,3,38.97007398846795,12.066405046681345,304.8504721183709,wknn_fingerprinting_smoothed_road_snapped,3,40.37291463272438,0,1,2
scan_26,2026-04-08 12:08:02,48.88965693991006,8.697558467242297,48.88853456643176,8.6999138608317,48.88857858942963,8.699840066696941,3,48.13176359397884,7.2932583561857545,205.66718256274987,wknn_fingerprinting_smoothed_road_snapped,13,11.445526257579614,0,5,8
scan_27,2026-04-08 12:08:31,48.8896420292112,8.697542990379423,48.88889287318064,8.699294794540606,48.88890117234414,8.69926009493847,5,33.58836439349036,2.7026551087405637,150.32511490302457,wknn_fingerprinting_smoothed_road_snapped,8,17.694450185901232,1,6,1
scan_30,2026-04-08 12:09:15,48.889626166731695,8.697726274795905,48.889239032167936,8.69886049025207,48.889171168926126,8.69881851170451,5,38.151730613835184,8.155485724886773,94.63998362831651,wknn_fingerprinting_smoothed_road_snapped,5,37.77607171538021,0,2,3
scan_32,2026-04-08 12:10:02,48.88954060878895,8.698120571025353,48.88935021955241,8.698534397343554,48.88930685992822,8.698507550512073,6,20.751966016403596,5.211461302133706,38.46267279285523,wknn_fingerprinting_smoothed_road_snapped,17,8.972300230954039,2,6,9
scan_33,2026-04-08 12:10:31,48.889464695381,8.69804371053606,48.889605359555944,8.698574942873666,48.889589383394366,8.698570110039556,3,70.16538362493182,1.8133039620435472,40.95345391747046,wknn_fingerprinting_smoothed_road_snapped,8,15.191356615129092,0,4,4
scan_55,2026-04-08 12:50:06,48.88951383645598,8.698225544548315,48.88958992470937,8.698419153867581,48.88960839456136,8.698424741048953,3,38.622100754188224,2.0963393338263177,17.982748520395504,wknn_fingerprinting_smoothed_road_snapped,8,15.61379154919987,1,2,5
scan_57,2026-04-08 12:50:24,48.88934790508701,8.69826100407508,48.88958095727705,8.698312396287825,48.88958197323591,8.69830900053291,3,20.286912579660267,0.2730710976044364,26.292226647450967,wknn_fingerprinting_smoothed_road_snapped,5,0.4483258670965485,0,0,5
