scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method
scan_01,2026-04-08 11:32:48,48.87859698231721,8.715912761038608,48.87857468932462,8.715884222781341,48.87857468932462,8.715884222781341,4,0.7427577504572096,,3.2440364275641302,precomputed_wifi_multilateration
scan_04,2026-04-08 11:33:11,48.878608119717214,8.715648679771151,48.87861666485961,8.715649833996656,48.87861666485961,8.715649833996656,5,1.8641569927116743,,0.9549910916763221,precomputed_wifi_multilateration
scan_05,2026-04-08 11:33:34,48.87875390342473,8.715488070086685,48.87872242989423,8.715537595039015,48.87872242989423,8.715537595039015,5,0.5254626385789317,,5.0419585704005705,precomputed_wifi_multilateration
scan_16,2026-04-08 12:04:01,48.88971471078834,8.695300961700791,48.88987866895415,8.69758287592063,48.88991185464039,8.697598299961633,12,18.86246620736564,3.862881780965168,169.57761856454,precomputed_wifi_multilateration
scan_17,2026-04-08 12:04:29,48.889687597532,8.695607415257273,48.88965091651948,8.696147470226729,48.889737173806246,8.696145554817708,4,9.981489878372129,9.603184582785047,39.773394662298905,precomputed_wifi_multilateration
scan_20,2026-04-08 12:06:02,48.88980351745669,8.69637696252907,48.88972309472445,8.696931065905009,48.88968700710272,8.696939914176674,6,10.698974073097604,4.06914358847784,43.197711214268836,precomputed_wifi_multilateration
scan_22,2026-04-08 12:06:30,48.88977385104084,8.696722641796185,48.88982331097485,8.697366928124257,48.889946811086155,8.697424328455263,8,7.871179804736593,14.37566610755493,54.849656646077065,precomputed_wifi_multilateration
scan_23,2026-04-08 12:06:36,48.88977163334506,8.69677642017949,48.889623040713886,8.697194454292278,48.889640011028334,8.69720358783269,6,29.61655890000841,2.0039347632490734,34.529061407635126,precomputed_wifi_multilateration
scan_25,2026-04-08 12:07:41,48.88969432278769,8.697389132041538,48.88961314898875,8.697119136659492,48.889619413018075,8.697122840400993,3,0.8257121738357873,0.7481542576739557,21.199914146414795,precomputed_wifi_multilateration
scan_26,2026-04-08 12:08:02,48.88965693991006,8.697558467242297,48.88974415200318,8.697827167646993,48.8896579,8.6978247,13,15.957070692269072,9.60327165420407,19.4869746704021,precomputed_wifi_multilateration
scan_27,2026-04-08 12:08:31,48.8896420292112,8.697542990379423,48.88968787517238,8.69781416224131,48.8896579,8.6978247,8,4.182687931479899,3.4248185804834432,20.695054637487946,precomputed_wifi_multilateration
scan_28,2026-04-08 12:08:37,48.88963856486564,8.697543677588072,48.88957321980477,8.697858407911843,48.88961039135988,8.69785525526951,4,11.129115248944222,4.144366649328172,23.020316114612832,precomputed_wifi_multilateration
scan_30,2026-04-08 12:09:15,48.889626166731695,8.697726274795905,48.88961224014092,8.697378310708839,48.889600790554994,8.697372148463524,5,5.346122162337724,1.352021114125949,26.073472781306172,precomputed_wifi_multilateration
scan_32,2026-04-08 12:10:02,48.88954060878895,8.698120571025353,48.88950003419333,8.698099301110638,48.88956180852992,8.698127001910292,17,7.048916155517088,7.169393052969928,2.4064394652317795,precomputed_wifi_multilateration
scan_33,2026-04-08 12:10:31,48.889464695381,8.69804371053606,48.88966025945055,8.698059695931475,48.88963761856481,8.698051714574676,8,4.394810701586936,2.5872009648926624,19.2587216912043,precomputed_wifi_multilateration
scan_35,2026-04-08 12:10:43,48.88947905308782,8.698035809343907,48.8894570861094,8.698018897721044,48.88939912322461,8.697984625995268,3,1.226272609288015,6.922889841120367,9.65431183121629,precomputed_wifi_multilateration
scan_42,2026-04-08 12:16:04,48.88955184381253,8.698102776308806,48.88968538471649,8.697828724301083,48.88965784099974,8.697826173849766,3,23.616925137612625,3.0718440700249348,23.433312397512715,precomputed_wifi_multilateration
scan_43,2026-04-08 12:16:21,48.88953460322554,8.698108848520139,48.88969876469806,8.698155156034064,48.889625775237896,8.698129425802913,4,3.257414488873448,8.340592390193432,10.260414639034595,precomputed_wifi_multilateration
scan_44,2026-04-08 12:16:33,48.88953049330193,8.698090217153071,48.88963944477684,8.697856800757906,48.889656551551035,8.697858384784071,4,23.81187618873012,1.9078522842233558,22.019544751486922,precomputed_wifi_multilateration
scan_52,2026-04-08 12:46:45,48.88963364652472,8.697984559283105,48.89003240628693,8.69804223343856,48.889883749159516,8.69802218678257,3,32.46184391110989,16.61343316473342,27.97731417687062,precomputed_wifi_multilateration
scan_54,2026-04-08 12:49:57,48.8895794416064,8.698185975801751,48.88989624777331,8.698571515914987,48.88990141058863,8.698550277400381,3,8.98291534232173,1.657366787506029,44.672478413638274,precomputed_wifi_multilateration
scan_55,2026-04-08 12:50:06,48.88951383645598,8.698225544548315,48.88971148324005,8.698428532092871,48.88971588540926,8.698416003943613,8,9.82747454045668,1.0397174364444592,26.461918733267638,precomputed_wifi_multilateration
scan_56,2026-04-08 12:50:15,48.88943356786268,8.698291887074879,48.88952845928085,8.69762571170266,48.889540307980326,8.697632088746484,3,35.67616617948157,1.3991504119059213,49.7338994055066,precomputed_wifi_multilateration
scan_57,2026-04-08 12:50:24,48.88934790508701,8.69826100407508,48.889341331313176,8.698251847841052,48.88932824185707,8.69824238879705,5,5.644954910056563,1.6132401082702092,2.5783405479750914,precomputed_wifi_multilateration
scan_59,2026-04-08 12:50:43,48.88925460139264,8.69843281683713,48.889690633640775,8.698423218880016,48.88969821536479,8.698401642030266,8,6.173979342628648,1.790674353517399,49.43579726926681,precomputed_wifi_multilateration
scan_64,2026-04-08 12:51:27,48.88942810497916,8.698315766014318,48.88985474091563,8.698848242866642,48.889811347684756,8.698832270947936,5,3.833612065584513,4.969983179441367,57.002959527240286,precomputed_wifi_multilateration
scan_65,2026-04-08 12:51:36,48.88949854887613,8.698380980716754,48.88984920007002,8.698534816965735,48.8898532244507,8.698535813630473,4,14.24115847214824,0.45389463718625916,41.07677255253073,precomputed_wifi_multilateration
scan_66,2026-04-08 12:51:45,48.88957810539205,8.698447835305924,48.889819167909074,8.69858329868666,48.88984739201581,8.698590288572284,6,12.602538755949425,3.1832899949142153,31.738574792633415,precomputed_wifi_multilateration
