network_id,ssid,bssid,scan_count,total_observations,mean_rssi,strongest_rssi,min_radius_m,max_radius_m,overlap_point_count
Vodafone-A134 | 8c:6a:8d:8f:a1:40,Vodafone-A134,8c:6a:8d:8f:a1:40,4,4,-88.0,-78,12.589254117941675,39.810717055349734,0
Vodafone-F0E4 | ec:a9:40:6b:03:3d,Vodafone-F0E4,ec:a9:40:6b:03:3d,4,4,-88.0,-81,15.848931924611133,42.986623470822764,0
FRITZ!Box 6690 XU | 04:b4:fe:2d:35:f2,FRITZ!Box 6690 XU,04:b4:fe:2d:35:f2,4,4,-88.5,-81,15.848931924611133,39.810717055349734,0
FRITZ!Box 7530 FI | 08:b6:57:b7:30:ac,FRITZ!Box 7530 FI,08:b6:57:b7:30:ac,4,4,-88.5,-82,17.11328304161781,39.810717055349734,0
Vodafone-5AEC | ec:a8:1f:af:5a:f8,Vodafone-5AEC,ec:a8:1f:af:5a:f8,4,4,-88.5,-80,14.677992676220699,42.986623470822764,0
#BBBankFree.Wifi.Plus | 78:9a:18:9e:0a:70,#BBBankFree.Wifi.Plus,78:9a:18:9e:0a:70,4,4,-88.75,-81,15.848931924611133,46.4158883361278,0
Hotel Montana Wifi_EXT | 5c:e9:31:cc:e2:49,Hotel Montana Wifi_EXT,5c:e9:31:cc:e2:49,4,4,-89.25,-84,19.952623149688797,39.810717055349734,0
Praxis Neuffer Gast | d6:24:dd:0c:71:2c,Praxis Neuffer Gast,d6:24:dd:0c:71:2c,4,4,-89.25,-84,19.952623149688797,46.4158883361278,0
THG-Schueler | 12:a0:57:59:f5:95,THG-Schueler,12:a0:57:59:f5:95,4,4,-89.25,-86,23.263050671536263,34.14548873833603,0
THG-LEHRERNETZ | 0e:a0:57:5a:0f:ed,THG-LEHRERNETZ,0e:a0:57:5a:0f:ed,4,4,-89.5,-83,18.478497974222908,42.986623470822764,0
BT-NB | 74:88:bb:76:1f:ac,BT-NB,74:88:bb:76:1f:ac,4,4,-89.75,-83,18.478497974222908,42.986623470822764,0
PraBey | d8:07:b6:0b:41:c3,PraBey,d8:07:b6:0b:41:c3,4,4,-89.75,-83,18.478497974222908,42.986623470822764,0
THG-LEHRER | 06:a0:57:59:f5:95,THG-LEHRER,06:a0:57:59:f5:95,4,4,-90.25,-86,23.263050671536263,39.810717055349734,0
Katz-Kunde-Marktcafe | 74:0a:e1:7f:ad:04,Katz-Kunde-Marktcafe,74:0a:e1:7f:ad:04,3,3,-58.0,-43,3.0,6.309573444801933,0
Ofis_EXT_EXT | 50:3d:d1:bf:33:c0,Ofis_EXT_EXT,50:3d:d1:bf:33:c0,3,3,-58.666666666666664,-53,3.0,4.298662347082277,0
PC-Filiale | 3e:a6:2f:05:00:8e,PC-Filiale,3e:a6:2f:05:00:8e,3,3,-58.666666666666664,-50,3.0,6.812920690579613,0
Demo-WLAN | e6:55:b8:04:eb:b2,Demo-WLAN,e6:55:b8:04:eb:b2,3,3,-61.333333333333336,-51,3.0,9.261187281287935,0
Demo-WLAN | e4:55:a8:04:eb:b2,Demo-WLAN,e4:55:a8:04:eb:b2,3,3,-62.0,-49,3.0,8.576958985908941,0
dm CONNECT | f6:55:b8:b2:7d:90,dm CONNECT,f6:55:b8:b2:7d:90,3,3,-62.333333333333336,-52,3.0,11.659144011798316,0
FRITZ!Box 6660 Cable IO | 3c:37:12:b3:62:42,FRITZ!Box 6660 Cable IO,3c:37:12:b3:62:42,3,3,-63.333333333333336,-58,3.0,6.309573444801933,0
Gast Hotel am Theater | e2:28:6d:4e:af:b4,Gast Hotel am Theater,e2:28:6d:4e:af:b4,3,3,-63.333333333333336,-49,3.0,12.589254117941675,0
WiFi4EU | 48:4a:e9:d9:2d:c0,WiFi4EU,48:4a:e9:d9:2d:c0,3,3,-63.333333333333336,-57,3.0,6.309573444801933,0
OS-Internet | 7c:5a:1c:ec:30:f3,OS-Internet,7c:5a:1c:ec:30:f3,3,3,-63.666666666666664,-56,3.0,9.261187281287935,0
Vodafone-4F44 | 00:cb:7a:44:4f:48,Vodafone-4F44,00:cb:7a:44:4f:48,3,3,-64.0,-51,3.0,8.576958985908941,0
YCafe | 30:68:93:66:65:20,YCafe,30:68:93:66:65:20,3,3,-64.0,-58,3.0,6.812920690579613,0
iPhone | 76:10:b5:cc:28:e9,iPhone,76:10:b5:cc:28:e9,3,3,-64.0,-58,3.0,6.812920690579613,0
WiFi4EU | 48:4a:e9:d9:c4:c2,WiFi4EU,48:4a:e9:d9:c4:c2,3,3,-64.33333333333333,-58,3.0,7.3564225445964135,0
FritzboxPFZ9 | dc:15:c8:30:59:6b,FritzboxPFZ9,dc:15:c8:30:59:6b,3,3,-64.66666666666667,-54,3.0,11.659144011798316,0
PF-WLAN | 48:4a:e9:d9:c4:c0,PF-WLAN,48:4a:e9:d9:c4:c0,3,3,-65.0,-58,3.0,7.943282347242816,0
WLAN-168329 | 74:90:bc:31:46:3f,WLAN-168329,74:90:bc:31:46:3f,3,3,-65.0,-65,4.641588833612778,4.641588833612778,0
HaugWeiser | 0e:ea:14:2f:8e:16,HaugWeiser,0e:ea:14:2f:8e:16,3,3,-65.33333333333333,-60,3.1622776601683795,7.3564225445964135,0
TP-Link_BD26 | 5c:e9:31:58:bd:26,TP-Link_BD26,5c:e9:31:58:bd:26,3,3,-65.33333333333333,-56,3.0,8.576958985908941,0
NVR9ca3a977f7af | 9c:a3:a9:77:f7:af,NVR9ca3a977f7af,9c:a3:a9:77:f7:af,3,3,-65.66666666666667,-49,3.0,31.622776601683793,0
philips2 | e8:df:70:49:20:15,philips2,e8:df:70:49:20:15,3,3,-65.66666666666667,-57,3.0,8.576958985908941,0
Galaxy S20 FE82EA | 3a:99:d1:7b:55:10,Galaxy S20 FE82EA,3a:99:d1:7b:55:10,3,3,-66.33333333333333,-57,3.0,9.261187281287935,0
Hassan abi | d2:99:91:92:dd:b0,Hassan abi,d2:99:91:92:dd:b0,3,3,-68.33333333333333,-63,3.9810717055349722,9.261187281287935,0
Ofis_EXT | 78:20:51:3b:50:14,Ofis_EXT,78:20:51:3b:50:14,3,3,-68.33333333333333,-58,3.0,11.659144011798316,0
Vodafone-2A9B | a0:e7:ae:5c:04:ee,Vodafone-2A9B,a0:e7:ae:5c:04:ee,3,3,-69.33333333333333,-60,3.1622776601683795,12.589254117941675,0
TEDi-branch | 00:a0:57:96:5c:81,TEDi-branch,00:a0:57:96:5c:81,3,3,-70.0,-63,3.9810717055349722,10.7977516232771,0
TEDi-tech | 06:a0:57:96:5c:81,TEDi-tech,06:a0:57:96:5c:81,3,3,-70.0,-63,3.9810717055349722,11.659144011798316,0
TEDi-tech-global | 0a:a0:57:96:5c:81,TEDi-tech-global,0a:a0:57:96:5c:81,3,3,-70.0,-63,3.9810717055349722,11.659144011798316,0
[LG_Wall-Mount A/C]9838 | a6:36:c7:81:98:38,[LG_Wall-Mount A/C]9838,a6:36:c7:81:98:38,3,3,-70.0,-58,3.0,13.593563908785255,0
Vodafone-0FD4 | 08:a7:c0:e1:0f:d8,Vodafone-0FD4,08:a7:c0:e1:0f:d8,3,3,-70.33333333333333,-60,3.1622776601683795,14.677992676220699,0
Vodafone-C868 | bc:5b:d5:ae:93:24,Vodafone-C868,bc:5b:d5:ae:93:24,3,3,-71.0,-62,3.686945064519575,15.848931924611133,0
vs-44cf68 | 58:b5:68:44:cf:68,vs-44cf68,58:b5:68:44:cf:68,3,3,-71.0,-61,3.4145488738336014,23.263050671536263,0
Internet | 84:d1:5a:93:94:46,Internet,84:d1:5a:93:94:46,3,3,-71.33333333333333,-64,4.298662347082277,12.589254117941675,0
Ofis_EXT | 78:20:51:3b:50:15,Ofis_EXT,78:20:51:3b:50:15,3,3,-71.33333333333333,-65,4.641588833612778,13.593563908785255,0
Vodafone-5283 | 70:54:25:6f:b4:9d,Vodafone-5283,70:54:25:6f:b4:9d,3,3,-71.33333333333333,-65,4.641588833612778,12.589254117941675,0
FB-OC-PH | 74:42:7f:ab:10:7b,FB-OC-PH,74:42:7f:ab:10:7b,3,3,-71.66666666666667,-61,3.4145488738336014,18.478497974222908,0
Galaxy M214C2E | 7e:03:cf:a6:67:6d,Galaxy M214C2E,7e:03:cf:a6:67:6d,3,3,-71.66666666666667,-66,5.011872336272722,11.659144011798316,0
FRITZ!Box 6690 NC | 60:b5:8d:d5:63:9b,FRITZ!Box 6690 NC,60:b5:8d:d5:63:9b,3,3,-72.0,-64,4.298662347082277,15.848931924611133,0
Vodafone Homespot | be:5b:d5:ae:93:34,Vodafone Homespot,be:5b:d5:ae:93:34,3,3,-72.0,-64,4.298662347082277,18.478497974222908,0
Vodafone-64EA | 50:a5:dc:d3:07:d6,Vodafone-64EA,50:a5:dc:d3:07:d6,3,3,-72.0,-72,7.943282347242816,7.943282347242816,0
Vodafone-0C04 | f8:d2:ac:76:0c:08,Vodafone-0C04,f8:d2:ac:76:0c:08,3,3,-73.0,-73,8.576958985908941,8.576958985908941,0
CARLINK_931D4C28C | 34:a6:ef:59:15:35,CARLINK_931D4C28C,34:a6:ef:59:15:35,3,3,-73.33333333333333,-65,4.641588833612778,21.544346900318832,0
o2-WLAN37 | f8:5b:3b:f8:d0:eb,o2-WLAN37,f8:5b:3b:f8:d0:eb,3,3,-73.33333333333333,-62,3.686945064519575,17.11328304161781,0
FRITZ!Box 6690 OG | d4:24:dd:62:11:94,FRITZ!Box 6690 OG,d4:24:dd:62:11:94,3,3,-74.0,-59,3.0,21.544346900318832,0
Vodafone-3ACC | 8c:6a:8d:8e:3a:d0,Vodafone-3ACC,8c:6a:8d:8e:3a:d0,3,3,-74.0,-67,5.411695265464636,18.478497974222908,0
Vodafone-700C | 00:cb:7a:aa:70:18,Vodafone-700C,00:cb:7a:aa:70:18,3,3,-74.0,-64,4.298662347082277,29.286445646252357,0
gigacube-A9E4 | 54:1f:8d:88:a9:e4,gigacube-A9E4,54:1f:8d:88:a9:e4,3,3,-74.0,-74,9.261187281287935,9.261187281287935,0
URM_8MPDHTRP4LU5TMTUGAXJ | 3c:83:b5:01:34:94,URM_8MPDHTRP4LU5TMTUGAXJ,3c:83:b5:01:34:94,3,3,-74.33333333333333,-62,3.686945064519575,18.478497974222908,0
Vodafone-5413 | d4:3f:cb:81:66:08,Vodafone-5413,d4:3f:cb:81:66:08,3,3,-74.66666666666667,-70,6.812920690579613,14.677992676220699,0
Vodafone Homespot | d6:3f:cb:88:b7:37,Vodafone Homespot,d6:3f:cb:88:b7:37,3,3,-75.0,-68,5.843414133735177,15.848931924611133,0
Vodafone-691C | b8:a5:35:14:69:28,Vodafone-691C,b8:a5:35:14:69:28,3,3,-75.0,-70,6.812920690579613,14.677992676220699,0
FRITZ!Box 6690 OH | 48:5d:35:50:40:25,FRITZ!Box 6690 OH,48:5d:35:50:40:25,3,3,-75.33333333333333,-64,4.298662347082277,23.263050671536263,0
Vodafone-B244 | 80:da:c2:6b:b2:48,Vodafone-B244,80:da:c2:6b:b2:48,3,3,-75.33333333333333,-65,4.641588833612778,18.478497974222908,0
WLAN_E&F | 9c:05:d6:b3:a2:95,WLAN_E&F,9c:05:d6:b3:a2:95,3,3,-75.33333333333333,-68,5.843414133735177,19.952623149688797,0
NVR083a2f4bde3c | 08:3a:2f:4b:de:3c,NVR083a2f4bde3c,08:3a:2f:4b:de:3c,3,3,-75.66666666666667,-67,5.411695265464636,18.478497974222908,0
SMART-5922 | ee:3e:b3:d0:2f:90,SMART-5922,ee:3e:b3:d0:2f:90,3,3,-75.66666666666667,-70,6.812920690579613,17.11328304161781,0
Vodafone-41BD | 50:a5:dc:d2:9c:dc,Vodafone-41BD,50:a5:dc:d2:9c:dc,3,3,-75.66666666666667,-62,3.686945064519575,36.869450645195755,0
o2-WLAN38 | 94:91:7f:f9:0a:a6,o2-WLAN38,94:91:7f:f9:0a:a6,3,3,-75.66666666666667,-70,6.812920690579613,15.848931924611133,0
SBF-AiP2 | 04:d4:c4:40:41:29,SBF-AiP2,04:d4:c4:40:41:29,3,3,-76.0,-70,6.812920690579613,17.11328304161781,0
SPFLOCSW11A | ee:55:b8:b2:85:94,SPFLOCSW11A,ee:55:b8:b2:85:94,3,3,-76.0,-68,5.843414133735177,23.263050671536263,0
WLAN-759985 | 6c:15:db:4f:a0:ae,WLAN-759985,6c:15:db:4f:a0:ae,3,3,-76.0,-71,7.3564225445964135,15.848931924611133,0
dm CONNECT | f6:55:b8:b2:85:94,dm CONNECT,f6:55:b8:b2:85:94,3,3,-76.0,-68,5.843414133735177,23.263050671536263,0
Vodafone Homespot | d6:3f:cb:81:66:38,Vodafone Homespot,d6:3f:cb:81:66:38,3,3,-76.66666666666667,-69,6.309573444801933,25.118864315095795,0
WLAN-QASGA7 | 58:d7:59:ca:42:d5,WLAN-QASGA7,58:d7:59:ca:42:d5,3,3,-76.66666666666667,-71,7.3564225445964135,17.11328304161781,0
SBF-AiP2 | 04:d4:c4:40:57:78,SBF-AiP2,04:d4:c4:40:57:78,3,3,-77.0,-69,6.309573444801933,21.544346900318832,0
myhappyplace4s | ee:a9:40:6b:03:2c,myhappyplace4s,ee:a9:40:6b:03:2c,3,3,-77.0,-71,7.3564225445964135,18.478497974222908,0
Kochlöffel Mitarbeiter | 72:a7:41:da:f7:c2,Kochlöffel Mitarbeiter,72:a7:41:da:f7:c2,3,3,-77.33333333333333,-71,7.3564225445964135,18.478497974222908,0
Redmi Note 11 | b6:58:d2:e2:54:4c,Redmi Note 11,b6:58:d2:e2:54:4c,3,3,-77.66666666666667,-69,6.309573444801933,29.286445646252357,0
BEHELSA | 7c:ff:4d:1d:73:d1,BEHELSA,7c:ff:4d:1d:73:d1,3,3,-78.0,-71,7.3564225445964135,23.263050671536263,0
Vodafone-297C | d4:3f:cb:84:c5:eb,Vodafone-297C,d4:3f:cb:84:c5:eb,3,3,-78.0,-71,7.3564225445964135,21.544346900318832,0
Vodafone-64EA | 50:a5:dc:d3:07:d5,Vodafone-64EA,50:a5:dc:d3:07:d5,3,3,-78.0,-78,12.589254117941675,12.589254117941675,0
HotspotATPQ | c8:84:4e:29:ce:d8,HotspotATPQ,c8:84:4e:29:ce:d8,3,3,-78.66666666666667,-72,7.943282347242816,23.263050671536263,0
TheNailHeadspa | d4:24:dd:de:af:10,TheNailHeadspa,d4:24:dd:de:af:10,3,3,-78.66666666666667,-67,5.411695265464636,29.286445646252357,0
Podologie | 34:31:c4:7c:3d:25,Podologie,34:31:c4:7c:3d:25,3,3,-79.0,-74,9.261187281287935,19.952623149688797,0
UPC543C474 | 54:67:51:02:ad:69,UPC543C474,54:67:51:02:ad:69,3,3,-79.0,-66,5.011872336272722,31.622776601683793,0
