scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_16,2026-04-08 12:04:01,48.88971471078834,8.695300961700791,48.88987866895415,8.69758287592063,48.88991185464039,8.697598299961633,12,18.86246620736564,3.862881780965168,169.57761856454,precomputed_wifi_multilateration,1916.3753713709093,1809.974804983146,True,high_error
scan_25,2026-04-08 12:07:41,48.88969432278769,8.697389132041538,48.88961314898875,8.697119136659492,48.889619413018075,8.697122840400993,3,0.8257121738357873,0.7481542576739557,21.199914146414795,precomputed_wifi_multilateration,45.66516818059514,6.339454901770859,True,too_few_aps
scan_35,2026-04-08 12:10:43,48.88947905308782,8.698035809343907,48.8894570861094,8.698018897721044,48.88939912322461,8.697984625995268,3,1.226272609288015,6.922889841120367,9.65431183121629,precomputed_wifi_multilateration,1.6997118548186467,26.999601141385167,True,too_few_aps
scan_42,2026-04-08 12:16:04,48.88955184381253,8.698102776308806,48.88968538471649,8.697828724301083,48.88965784099974,8.697826173849766,3,23.616925137612625,3.0718440700249348,23.433312397512715,precomputed_wifi_multilateration,9.470235573016337,31.047956972688887,True,too_few_aps
scan_52,2026-04-08 12:46:45,48.88963364652472,8.697984559283105,48.89003240628693,8.69804223343856,48.889883749159516,8.69802218678257,3,32.46184391110989,16.61343316473342,27.97731417687062,precomputed_wifi_multilateration,13.844402118301197,27.989476138325358,True,too_few_aps
scan_54,2026-04-08 12:49:57,48.8895794416064,8.698185975801751,48.88989624777331,8.698571515914987,48.88990141058863,8.698550277400381,3,8.98291534232173,1.657366787506029,44.672478413638274,precomputed_wifi_multilateration,15.929606139093027,38.70293352961039,True,too_few_aps
scan_56,2026-04-08 12:50:15,48.88943356786268,8.698291887074879,48.88952845928085,8.69762571170266,48.889540307980326,8.697632088746484,3,35.67616617948157,1.3991504119059213,49.7338994055066,precomputed_wifi_multilateration,10.169707471395597,60.6156561964951,True,too_few_aps
scan_81,2026-04-08 12:53:58,48.8901420640057,8.6989117771395,48.89017991969261,8.698448003521184,48.890282833262965,8.698474491567215,3,9.602146991958756,11.619227439560433,35.63670176849524,precomputed_wifi_multilateration,0.23785344500832567,48.32113827183577,True,too_few_aps
scan_82,2026-04-08 12:54:07,48.89019273368481,8.698915444395558,48.89019519846705,8.698843920368958,48.89025668156152,8.698864726038398,3,11.727376544698355,7.011665183919348,8.02847137793105,precomputed_wifi_multilateration,5.64693174552645,28.710509695598397,True,too_few_aps
scan_97,2026-04-08 12:56:15,48.89109058717651,8.699128907757114,48.89110365204245,8.69948714802512,48.89096196198388,8.699465098233928,3,3.324121576468616,15.855286981783335,28.469273413285382,precomputed_wifi_multilateration,4.179309071057538,24.921042682665416,True,too_few_aps
scan_104,2026-04-08 12:57:11,48.89108520271169,8.699160291412342,48.89111805050016,8.699267789136112,48.89112842307175,8.699169599933729,3,5.908785611747435,7.278834825139669,4.859289995625483,precomputed_wifi_multilateration,1.720312664191367,0.3322059215967911,True,too_few_aps
scan_204,2026-04-08 13:13:59,48.89147881206424,8.699854499960344,48.891263968093966,8.700208437142411,48.89126438110491,8.700190678383313,3,3.737095584991199,1.3006084625174619,34.28154377616463,precomputed_wifi_multilateration,0.9569411648829889,32.71407297411769,True,too_few_aps
scan_209,2026-04-08 13:14:27,48.891445272587575,8.700109097982295,48.89053047089163,8.700155551942606,48.89053125627482,8.700137726215099,4,5.161737169903195,1.3076422742750702,101.76986879129402,precomputed_wifi_multilateration,6.418326931661331,84.18670236040192,True,high_error
