scan_id,timestamp,raw_latitude,raw_longitude,latitude,longitude,snap_distance_m,road_type,snapped,segment_id,match_score,candidate_count
scan_01,2026-04-08 11:32:48,48.87859698231721,8.715912761038608,48.87859698231721,8.715912761038608,,,False,unsnapped,130.0,1
scan_02,2026-04-08 11:32:54,48.87859222952685,8.715724689034694,48.87859222952685,8.715724689034694,,,False,unsnapped,130.0,1
scan_03,2026-04-08 11:32:59,48.87857945658125,8.715631235402675,48.87857945658125,8.715631235402675,,,False,unsnapped,130.0,1
scan_04,2026-04-08 11:33:11,48.878608119717214,8.715648679771151,48.878608119717214,8.715648679771151,,,False,unsnapped,130.0,1
scan_05,2026-04-08 11:33:34,48.87875390342473,8.715488070086685,48.87875390342473,8.715488070086685,,,False,unsnapped,130.0,1
scan_06,2026-04-08 11:33:44,48.878844576585145,8.715434311545886,48.878844576585145,8.715434311545886,,,False,unsnapped,130.0,1
scan_07,2026-04-08 11:33:58,48.87897420854232,8.715393751082939,48.87897420854232,8.715393751082939,,,False,unsnapped,130.0,1
scan_08,2026-04-08 11:34:21,48.87909132219016,8.715419893481913,48.87909132219016,8.715419893481913,,,False,unsnapped,130.0,1
scan_09,2026-04-08 11:34:41,48.87920210759939,8.715571569434974,48.87920210759939,8.715571569434974,,,False,unsnapped,130.0,1
scan_10,2026-04-08 11:34:44,48.87920721622213,8.715604125798363,48.87920721622213,8.715604125798363,,,False,unsnapped,130.0,1
scan_11,2026-04-08 11:34:55,48.879207734449146,8.715610960927211,48.879207734449146,8.715610960927211,,,False,unsnapped,130.0,1
scan_12,2026-04-08 11:35:00,48.87924126084299,8.715664202393068,48.87924126084299,8.715664202393068,,,False,unsnapped,130.0,1
scan_13,2026-04-08 11:35:28,48.87947635357801,8.716001691881822,48.87947635357801,8.716001691881822,,,False,unsnapped,130.0,1
scan_14,2026-04-08 11:35:48,48.879556036835005,8.716314433514874,48.879556036835005,8.716314433514874,,,False,unsnapped,130.0,1
scan_15,2026-04-08 12:03:15,48.88978038,8.69490594,48.8896629,8.6948761,13.259000958699358,footway,True,1579:0,13.259000958699358,6
scan_16,2026-04-08 12:04:01,48.88971471078834,8.695300961700791,48.88972488795268,8.695300555635395,1.1333117320118722,residential,True,9:4,9.133311732011872,6
scan_17,2026-04-08 12:04:29,48.889687597532,8.695607415257273,48.88973015181455,8.695605717356488,4.738772613089955,residential,True,9:4,12.738772613089955,6
scan_18,2026-04-08 12:04:35,48.88968961022125,8.695658737095737,48.88973103786175,8.695657084147525,4.6133116693958405,residential,True,9:4,12.613311669395841,2
scan_19,2026-04-08 12:04:42,48.88970071562175,8.695761251426385,48.889732812596,8.695759970768268,3.5742645262810475,residential,True,9:4,11.574264526281048,2
scan_20,2026-04-08 12:06:02,48.88980351745669,8.69637696252907,48.88973940898665,8.696378386109574,7.137315513510973,residential,True,9:3,15.137315513510973,4
scan_21,2026-04-08 12:06:21,48.88979559069876,8.696624859846505,48.88974150000001,8.6965962,6.3763183958549146,residential,True,9:3,14.376318395854915,6
scan_22,2026-04-08 12:06:30,48.88977385104084,8.696722641796185,48.88972467712202,8.696699752991917,5.724668314247665,residential,True,9:1,13.724668314247666,6
scan_23,2026-04-08 12:06:36,48.88977163334506,8.69677642017949,48.88971459217834,8.696749869436887,6.6405478338880375,residential,True,9:1,14.640547833888037,6
scan_24,2026-04-08 12:06:43,48.88976504685391,8.696797228628853,48.8897136,8.6967548,6.514869112705834,residential,True,9:1,14.514869112705835,6
scan_25,2026-04-08 12:07:41,48.88969432278769,8.697389132041538,48.88968389368609,8.69738526765395,1.194926808380818,pedestrian,True,447:2,1.194926808380818,6
scan_26,2026-04-08 12:08:02,48.88965693991006,8.697558467242297,48.889659346248735,8.697558960323315,0.2702939358680504,pedestrian,True,447:3,0.2702939358680504,6
scan_27,2026-04-08 12:08:31,48.8896420292112,8.697542990379423,48.88966042701101,8.697546760257767,2.066547732927936,pedestrian,True,447:3,2.066547732927936,6
scan_28,2026-04-08 12:08:37,48.88963856486564,8.697543677588072,48.889660305454555,8.697548132434434,2.442029222108585,pedestrian,True,447:3,2.442029222108585,6
scan_29,2026-04-08 12:08:43,48.88963798290472,8.697545723775338,48.88966011704595,8.69755025926415,2.4862353038897935,pedestrian,True,447:3,2.4862353038897935,6
scan_30,2026-04-08 12:09:15,48.889626166731695,8.697726274795905,48.88964419713755,8.69772996939107,2.025279914195149,pedestrian,True,447:3,2.025279914195149,6
scan_31,2026-04-08 12:09:21,48.889622042827625,8.697797033731295,48.88963796707575,8.697800296755288,1.7887040453494445,pedestrian,True,447:3,1.7887040453494445,6
scan_32,2026-04-08 12:10:02,48.88954060878895,8.698120571025353,48.889561259994316,8.698129831427709,2.396733227430534,pedestrian,True,447:9,2.396733227430534,6
scan_33,2026-04-08 12:10:31,48.889464695381,8.69804371053606,48.88949792151426,8.697897825261407,11.300447134699244,pedestrian,True,447:10,11.300447134699244,6
scan_34,2026-04-08 12:10:38,48.88946915104124,8.698037976842064,48.889500733854554,8.697899306848985,10.741541906760911,pedestrian,True,447:10,10.741541906760911,6
scan_35,2026-04-08 12:10:43,48.88947905308782,8.698035809343907,48.889509134307865,8.697903732347314,10.23083863631123,pedestrian,True,447:10,10.23083863631123,6
scan_36,2026-04-08 12:11:59,48.88945481592618,8.698039009685715,48.88948814451604,8.697892674576355,11.33529402662792,pedestrian,True,447:10,11.33529402662792,6
scan_37,2026-04-08 12:12:31,48.88945485192254,8.698039627675653,48.889488302327756,8.69789275771419,11.376724307685096,pedestrian,True,447:10,11.376724307685096,6
scan_38,2026-04-08 12:12:39,48.889454860857526,8.698039727855807,48.889488330677715,8.697892772649421,11.38332747998043,pedestrian,True,447:10,11.38332747998043,6
scan_39,2026-04-08 12:12:44,48.88945488230094,8.698039902779703,48.88948838539561,8.697892801475717,11.394644371348532,pedestrian,True,447:10,11.394644371348532,6
scan_40,2026-04-08 12:14:47,48.889377112773786,8.698245436530375,48.889377035928426,8.69824538895028,0.00923616415660929,pedestrian,True,446:2,0.00923616415660929,6
scan_41,2026-04-08 12:14:54,48.889545781511,8.698021899024367,48.88957927254971,8.698036917058888,3.8868958802878844,pedestrian,True,447:9,3.8868958802878844,6
scan_42,2026-04-08 12:16:04,48.88955184381253,8.698102776308806,48.889565332370836,8.698108824841741,1.5654522396946504,pedestrian,True,447:9,1.5654522396946504,6
scan_43,2026-04-08 12:16:21,48.88953460322554,8.698108848520139,48.88956287046842,8.698121524100902,3.2806337090426796,pedestrian,True,447:9,3.2806337090426796,6
scan_44,2026-04-08 12:16:33,48.88953049330193,8.698090217153071,48.889565864797746,8.698106078417974,4.105137606363214,pedestrian,True,447:9,4.105137606363214,6
scan_45,2026-04-08 12:16:41,48.88952851594751,8.69809201982383,48.8895653851324,8.698108552681136,4.278956094162355,pedestrian,True,447:9,4.278956094162355,6
scan_46,2026-04-08 12:16:49,48.88952857298328,8.698091629355158,48.88956545933689,8.698108169911263,4.280948658084408,pedestrian,True,447:9,4.280948658084408,6
scan_47,2026-04-08 12:18:50,48.88962337605448,8.69799616903199,48.889644926038656,8.698003765820834,2.462542375631006,pedestrian,True,447:6,2.462542375631006,6
scan_48,2026-04-08 12:20:03,48.889643927978426,8.697992124613627,48.88964655883715,8.697993052042785,0.30063135978429234,pedestrian,True,447:6,0.30063135978429234,6
scan_49,2026-04-08 12:20:37,48.88963106561858,8.697999197515392,48.889644880080134,8.698004067382458,1.5785949820559972,pedestrian,True,447:6,1.5785949820559972,6
scan_50,2026-04-08 12:20:45,48.88963361259282,8.697992742090427,48.88964594359633,8.697997089009755,1.4090784627183428,pedestrian,True,447:6,1.4090784627183428,6
scan_51,2026-04-08 12:20:53,48.8896369803919,8.69798684200136,48.88964696864357,8.69799036305511,1.141369417241603,pedestrian,True,447:6,1.141369417241603,6
scan_52,2026-04-08 12:46:45,48.88963364652472,8.697984559283105,48.88964712881789,8.697989312054501,1.540637703712757,pedestrian,True,447:6,1.540637703712757,6
scan_53,2026-04-08 12:46:54,48.88962034596227,8.697982588246262,48.88964673575737,8.697991891162273,3.015593340740184,pedestrian,True,447:6,3.015593340740184,6
scan_54,2026-04-08 12:49:57,48.8895794416064,8.698185975801751,48.8896179,8.6981811,4.296037449347699,pedestrian,True,447:6,4.296037449347699,6
scan_55,2026-04-08 12:50:06,48.88951383645598,8.698225544548315,48.889504838298706,8.698255620086316,2.4185404345537744,pedestrian,True,446:3,2.4185404345537744,6
scan_56,2026-04-08 12:50:15,48.88943356786268,8.698291887074879,48.88945478240995,8.698220979419025,5.702085607412499,pedestrian,True,446:3,5.702085607412499,6
scan_57,2026-04-08 12:50:24,48.88934790508701,8.69826100407508,48.889369308617226,8.698274256425897,2.5725239040807475,pedestrian,True,446:2,2.5725239040807475,6
scan_58,2026-04-08 12:50:34,48.88926892924243,8.698347895224666,48.889338127856604,8.698390740649517,8.317090713735302,pedestrian,True,446:2,8.317090713735302,6
scan_59,2026-04-08 12:50:43,48.88925460139264,8.69843281683713,48.88931659071524,8.69847119850687,7.450594675235102,pedestrian,True,446:2,7.450594675235102,6
