scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,raw_actual_latitude,raw_actual_longitude,matched_actual_latitude,matched_actual_longitude,gps_snap_distance_m,gps_road_type,matched_estimated_latitude,matched_estimated_longitude,wifi_snap_distance_m,wifi_road_type,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_01,2026-04-08 11:32:48,48.87859698231721,8.715912761038608,48.87860811971721,8.715648679771151,48.87860811971721,8.715648679771151,3,47.521924764610844,,19.373192859794283,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.87859698231721,8.715912761038608,48.87859698231721,8.715912761038608,,,48.87860811971721,8.715648679771151,,,4,0.7372803097490346,0,2,2,0.0,0.0,True,high_rmse
scan_16,2026-04-08 12:04:01,48.88972488795268,8.695300555635395,48.88269666701146,8.709812873937468,48.88269666701146,8.709812873937468,5,15.082595409820314,,1319.2507357162538,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88971471078834,8.695300961700791,48.88972488795268,8.695300555635395,1.1333117320118722,residential,48.88269666701146,8.709812873937468,,,12,120.90160146746217,0,0,12,1917.1196990507624,620.5922285671752,True,high_error;weak_router_support
scan_20,2026-04-08 12:06:02,48.88973940898665,8.696378386109574,48.88514219634758,8.705463211738236,48.88514219634758,8.705463211738236,3,38.97007398846795,,839.0859581184866,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88980351745669,8.69637696252907,48.88973940898665,8.696378386109574,7.137315513510973,residential,48.88514219634758,8.705463211738236,,,6,39.07449317405229,0,1,5,78.90733072580976,418.9215182138056,True,high_error;weak_router_support
scan_22,2026-04-08 12:06:30,48.88972467712202,8.696699752991917,48.88679884111323,8.702908574958883,48.88687376704676,8.702863702505473,5,51.39588580473312,8.964190854466443,551.6056938485235,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88977385104084,8.696722641796185,48.88972467712202,8.696699752991917,5.724668314247665,residential,48.88687376704676,8.702863702505473,8.964190854466443,path,8,35.8959201568386,0,2,6,23.579240840855757,270.8566981445476,True,high_rmse;high_error;weak_router_support
scan_25,2026-04-08 12:07:41,48.88968389368609,8.69738526765395,48.88782803986893,8.700623008861625,48.8879623,8.700736,3,38.97007398846795,17.081591886456582,311.25287566739814,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88969432278769,8.697389132041538,48.88968389368609,8.69738526765395,1.194926808380818,pedestrian,48.8879623,8.700736,17.081591886456582,footway,3,40.37291463272438,0,1,2,50.380595512455834,197.33013302853155,True,high_error;weak_router_support
scan_26,2026-04-08 12:08:02,48.889659346248735,8.697558960323315,48.88853456643176,8.6999138608317,48.88857858942963,8.699840066696941,3,48.13176359397884,7.2932583561857545,205.79435915078275,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88965693991006,8.697558467242297,48.889659346248735,8.697558960323315,0.2702939358680504,pedestrian,48.88857858942963,8.699840066696941,7.2932583561857545,living_street,13,11.445526257579614,0,5,8,13.003646202119038,94.90671508931366,True,high_rmse;high_error
scan_27,2026-04-08 12:08:31,48.88966042701101,8.697546760257767,48.88889287318064,8.699294794540606,48.88890117234414,8.69926009493847,5,33.58836439349036,2.7026551087405637,151.22947037497752,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8896420292112,8.697542990379423,48.88966042701101,8.697546760257767,2.066547732927936,pedestrian,48.88890117234414,8.69926009493847,2.7026551087405637,residential,8,17.694450185901232,1,6,1,0.9010417033036245,55.60249754558234,True,high_error;weak_router_support
scan_30,2026-04-08 12:09:15,48.88964419713755,8.69772996939107,48.889239032167936,8.69886049025207,48.88926857570714,8.698743325697198,5,38.151730613835184,9.184825334758854,85.14621503424736,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.889626166731695,8.697726274795905,48.88964419713755,8.69772996939107,2.025279914195149,pedestrian,48.88926857570714,8.698743325697198,9.184825334758854,pedestrian,5,37.77607171538021,0,2,3,13.531000587694656,55.70889345490582,True,weak_router_support
scan_33,2026-04-08 12:10:31,48.88949792151426,8.697897825261407,48.889605359555944,8.698574942873666,48.889589383394366,8.698570110039556,3,70.16538362493182,1.8133039620435472,50.24976639013727,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.889464695381,8.69804371053606,48.88949792151426,8.697897825261407,11.300447134699244,pedestrian,48.889589383394366,8.698570110039556,1.8133039620435472,pedestrian,8,15.191356615129092,0,4,4,18.387141867035922,31.78210284336576,True,high_rmse;weak_router_support
scan_55,2026-04-08 12:50:06,48.889504838298706,8.698255620086316,48.88958992470937,8.698419153867581,48.88960839456136,8.698424741048953,3,38.622100754188224,2.0963393338263177,16.91521181549168,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88951383645598,8.698225544548315,48.889504838298706,8.698255620086316,2.4185404345537744,pedestrian,48.88960839456136,8.698424741048953,2.0963393338263177,pedestrian,8,15.61379154919987,1,2,5,26.1998878311584,10.848598923734135,True,weak_router_support
scan_59,2026-04-08 12:50:43,48.88931659071524,8.69847119850687,48.889680435681726,8.698322296621281,48.88962,8.698336,4,26.96931988597143,6.802056382436803,35.19535294607009,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88925460139264,8.69843281683713,48.88931659071524,8.69847119850687,7.450594675235102,pedestrian,48.88962,8.698336,6.802056382436803,pedestrian,8,17.48631675727855,0,4,4,15.56390234746572,0.0,True,weak_router_support
scan_64,2026-04-08 12:51:27,48.889456175355484,8.698221943392777,48.88965214016537,8.698381712003998,48.88961547245327,8.698370619910355,4,45.1191352009209,4.161807359603973,20.805815984757217,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88942810497916,8.698315766014318,48.889456175355484,8.698221943392777,7.5448083650074045,pedestrian,48.88961547245327,8.698370619910355,4.161807359603973,pedestrian,5,24.78359901747013,0,3,2,23.964446239784042,2.5836141841433045,True,high_rmse;weak_router_support
scan_65,2026-04-08 12:51:36,48.8895307002633,8.69827351759515,48.889800080133796,8.698474838323246,48.889797456881055,8.698482303856517,3,110.0605893739141,0.6195673613471261,33.396890523363595,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88949854887613,8.698380980716754,48.8895307002633,8.69827351759515,8.64170674959904,pedestrian,48.889797456881055,8.698482303856517,0.6195673613471261,residential,4,34.88519167816267,0,1,3,9.11458596255894,21.84562278040198,True,high_rmse;weak_router_support
scan_67,2026-04-08 12:51:54,48.889599908832764,8.698489627218295,48.88973261693127,8.698460158352026,48.88974096837157,8.698436390951226,4,55.9531292355032,1.9724678285877375,16.178989102275583,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.889655522532514,8.698506450531182,48.889599908832764,8.698489627218295,6.312188339377629,pedestrian,48.88974096837157,8.698436390951226,1.9724678285877375,residential,10,37.30930513397575,0,3,7,17.594459877309387,7.129937987287229,True,high_rmse;weak_router_support
scan_69,2026-04-08 12:52:12,48.8898466871913,8.698596871633269,48.889794192995055,8.698493104781317,48.88979787020103,8.698482639796008,5,42.804148747163055,0.8684930876366456,9.971920820309242,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88980222408848,8.698585860055974,48.8898466871913,8.698596871633269,5.014824812815175,path,48.88979787020103,8.698482639796008,0.8684930876366456,residential,14,26.698974795584846,0,6,8,28.570842890251473,7.1821069230200605,True,weak_router_support
scan_73,2026-04-08 12:52:46,48.89000079952031,8.698606162899171,48.89001089528848,8.698613263143887,48.89001119970936,8.698612010831562,5,52.621851100817395,0.09772511506706194,1.234339433508,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88998564571088,8.698668501907346,48.89000079952031,8.698606162899171,4.8646728036386415,residential,48.89001119970936,8.698612010831562,0.09772511506706194,residential,12,38.16003872327564,0,4,8,17.269155365332782,8.465893150175955,True,high_rmse;weak_router_support
scan_74,2026-04-08 12:52:56,48.890071110851714,8.6986456983259,48.8900242231302,8.69862025904903,48.89002442100374,8.698619445045997,3,31.003479014063515,0.06352131009620668,5.541352224761532,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.890060742240735,8.69868835225887,48.890071110851714,8.6986456983259,3.328527909238295,residential,48.89002442100374,8.698619445045997,0.06352131009620668,residential,12,16.331227203649657,1,4,7,8.344852308020027,1.5691603540720733,True,weak_router_support
